Record Number,Display_ID,Context (Primary),Thumbnail,Latitude,Longitude,Readymag_URL,Map_Label
1,SS-001,Waiting,IMG_7054.jpeg (https://v5.airtableusercontent.com/v3/u/50/50/1771992000000/3VCswvSCcJu8T0mBG5rQ6A/ZafS_WqPGnP4Ysrb-K1BNOH_MaGAuer6f8ivvk8LImPmo9di665_fJWLl3aS96DMERiJJ1hA82MIAxKm8JRmw2kjTrTG8zuSUpgwV2T8g9NZ64c_Z_R-b2_GVWExTE_G1DtyWEvafbx2BJN8lxxQpTqjb4JyxutoFJ5Bx1_AXOQ/FgW8PvzJbXPAP5yTrxvT9B2O6YY1DyR-vrBDd2Kzw-Q),-34.585687,-58.429375,https://sittingsystems.org/ss-001/,"SS-001 — Informal Armchair Arrangement, Sidewalk"
2,SS-002,Resting,IMG_5235.jpeg (https://v5.airtableusercontent.com/v3/u/50/50/1771992000000/4sm3fQph7adOAHzNUYQnMw/E--rys06epVx29YWYds6eiqJvKLQNcQT6YXe6I5j-pUqNC4or59_to9-RhxWcs549CHd4M-REucitaekN58Z4zpr_8ztHDA134oPcn6_NhYcY3sXTyDrenl3xbRjpBRzrqMer4M2G4lDBW3FSeoERD36ooKe_Hbv72tQ_G0kL60/VWcXLyB8Gw8obXwebxU-POkJV_gSBHNuovKwKPbOToY),41.880000,87.779600,https://sittingsystems.org/ss-002/,"SS-002 — Child-Sized Chair, Private Residence"
3,SS-003,Display,SS-003.jpeg (https://v5.airtableusercontent.com/v3/u/50/50/1771992000000/VrC8EABIkhtoz1vt3Psn7w/AIaGctuz9hcsFPHxTKJLD2mofGGspvhBKMGuBBc_HBRuPeMzpPwmq6iyI3DIBNoOAIyrLKve_V3rnxzheOVHVqUn8EDuGQLyezjBpTVno_q6bXhZ1MD_VyKTIbl8-rhpGFwD53y23RR2Hwscg7Mye5gvrxErDVrJyLY0V2i3Rm4/hU2RwwP7jzAAoFGlplrrjfC-2staPp28QJ7RDMB9egg),48.901753,2.341620,https://sittingsystems.org/ss-003/,"SS-003 — Decorative Side Chair, Outdoor Market"
4,SS-004,Display,SS-004.jpeg (https://v5.airtableusercontent.com/v3/u/50/50/1771992000000/eHUessueEcz1-yFz1LK61w/JP8xold7TxDItXYZs7euSik-QtQsFC_J-V-6PH57TGmdbteG29lqrnaIDjE5dedv9UpFWR7gOF0hOhO2-zWT3i4eELje0tx5BjlZiWXdIVu098cfO3o5sXTvcbiU25RhEbyooCEF1ou4tdM-SN_WlQuzj4-YVnwxl4TowBNue-I/4VkUmcaXDma3TfFg6M_Vuo_nTcAggs6z-2BwhaNysXc),48.860970,2.339405,https://sittingsystems.org/ss-004/,SS-004 — Ceremonial Upholstered Chair — Louvre Interior
5,SS-005,Display,SS-005.jpeg (https://v5.airtableusercontent.com/v3/u/50/50/1771992000000/sHHSWfxQlAktlC7vdHSSOg/iRVw7FBMnVm7fDkUEAOfkIGLkZp7tYDFvlo_zz9SaCc33qC8EyUNkytbSLEJkfpANRNlStutwr_QwaWpvutwY45vT9aju7h0VgCTeqboiT25vjlnQBU2cLCkzn9SVyQfMjr2o5ybdA0YCvNB_3KnLxCghpR2u1B7IuFkUl5iL7s/UNQeXzWaoPGdyHedJmQ25UlFFYwCR641yKFJct2q9-w),40.704283,73.985542,https://sittingsystems.org/ss-005/,SS-005 — Modified Armchair — Exhibition Installation
6,SS-006,Waiting,SS-006.jpeg (https://v5.airtableusercontent.com/v3/u/50/50/1771992000000/QSsguPTtvqA-DWOnHSEv3w/bMGcRMwt2Uzr45vhU7fZ-MATkwWMBWIFPPRLLrOLywAlF_EYnWrWWOzoxtrGasN-XUZWHFHFmf_6IoczQOpIV90168hw2rNvxUBkPR82wgp64nWd2v_hg_m8o9gaL7nnVP4MhrusUEDxW_fDg3GZPMemzHloMfB6BD16RkG547s/Ry5FZTCoki412XDsZaNBw18jJfbdeLahcCkyqMD-uKw),40.366872,74.944642,https://sittingsystems.org/ss-006/,SS-006 — Painted Ladder-Back Chair — Commercial Interior
7,SS-007,Waiting,SS-007.jpeg (https://v5.airtableusercontent.com/v3/u/50/50/1771992000000/uEBaHneI8hnrTs1dfrJG8g/0LdNaqs4g2PBB75PBkGobH8G92kxRhd1kNaNVuwzsr3OtitNT3fligdL8vyYa3MLPyqIU3FCT-xOfE7BtCJyx3Uq2dU13qxZbe3tCpXQ7Ndhs_DYR05TXVPmn_m0pGrKo8EEKqk7EEX_zLEUVECrsWMlgU_9oLWF2N4-RQhnc2c/vgFc5Lh1cJdsqtySCW0iA7ABgTgbe9-EcHW-TcwGKao),41.108100,-75.454900,https://sittingsystems.org/ss-007/,SS-007 — Upholstered Armchair — Roadside (Winter)
8,SS-008,Working,SS-008.jpeg (https://v5.airtableusercontent.com/v3/u/50/50/1771992000000/mzmtQKD2wWLcoxXai92dVg/xoDLvJhQKMBsQEzCZM4RaI20bm9eren1v3DRLKdGTueYjYjanxQG5q2WnyTk7onK2knsapuRBUaxtsJMM5Byksq5MNA5zWfOss7jAZcQlHWPGEUBa_jC4KQPPYIbThDqy6lIniNqntNWH-CQmqGdoSrK88d7gVsfWhZS34z9xT0/gOqC0krVOaISW8CFr714I4uZMyonSj9y3MdhQ31sK8I),34.054900,-118.242600,https://sittingsystems.org/ss-008/,SS-008 — Artist’s Step Chair — Improvised Seating
9,SS-009,Resting,SS-009.jpeg (https://v5.airtableusercontent.com/v3/u/50/50/1771992000000/nFg2mGXlRMYwuaiEDt17BA/yb6LJSL1CmN6T6yuP-k5vxhsDlIUnXwKj_XOwG2QjI6mELgSh48sCGhKT0VwgZumQl5TU82qAxysifFD1fWPNoO6LlfGOt0xA7vgI6jhGYJRRzz5GM90mVd2zW5B9baC87mPabvlMWG7LMYg4jK44OILiCBK7akzR0rQLerfDbU/5rywWV6BQs9UHchSAsA2C_6G_FjzeAvFiRs6oABnzhw),-29.728212,31.087279,https://sittingsystems.org/ss-009/,SS-009 — Reclining Loungers — Hospitality Lawn
10,SS-010,Display,SS-010.jpeg (https://v5.airtableusercontent.com/v3/u/50/50/1771992000000/AcHOIaeJPgBDj3Ng8TVkrw/p1GZ4VTM0cNuVSMKwYaEOcyUIuDy-cbab42GSCRapAekXEa4yJ_zBNEehaBljEptMCKOoCQBAmWjmDV4UyPEPFm-h1kjeM2Idk_X13bdrpa2ua0b969XrsTpA1WBIzSU2GljTkD0Xg3RpdsXMTrdNH-Ci6MTz8BknjtnFPPnnzE/UsK7aTT-5HSQw4OkIQ0SBN9PgU9WF3IFbpgd4vr65Lw),40.733095,-73.992675,https://sittingsystems.org/ss-010/,SS-010 — Ornamental Armchairs — Storefront Threshold
11,SS-011,Working,SS_011.jpeg (https://v5.airtableusercontent.com/v3/u/50/50/1771992000000/iHJDEvJKRnqqOM4qYqx8yg/tQRe6yWtsN2jqmpOkZBztd3tcMtysLcVEVy8ZbyeVznIiT7CKfqiUzjLXeh9OUIBLisbfy0ipOXcy5uTCVIpcWvkTTFt68KVOzLsaXMmpdl041fM3wUg6bUzUHq_-oAmc7NhIUPebZsrjgGjF7MrqE7mlEMEA1DKBadfesNAnnY/NyHcTr0BXtNBlPXQ8d7P0yicxwxtt8FD3l2pBE2twD0),9.660600,80.011700,https://sittingsystems.org/ss-011/,SS-011 — Student Desk-Chair — Classroom Synchronization
12,SS-012,Resting,SS-012.jpeg (https://v5.airtableusercontent.com/v3/u/50/50/1771992000000/RUOWJzosCxr5DT4qIqbYUA/AWD-Gpq9T_QmO-sIU6frhUwW7hRubU1P_QAb9SvkLOuo18cyotDuQJDOQZuUz5yRbaVEm7eK6BFldGvFyNPBEZU9Ns1eblVyTkaI3PFeTsHxhPg3uoYXCryXuCVOoXHYvgh-qLXhvIOIL0gciajqMTK_QkiBENM3HUW6ZROxvSM/1azSuaAnzVrm7Wke76831YY7kP1GstbrXSIiDqdUdd0),43.784400,-88.787900,https://sittingsystems.org/ss-012/,SS-012 — Lakeside Armchairs — Horizon-Oriented Rest
13,SS-013,Waiting,SS-013.jpeg (https://v5.airtableusercontent.com/v3/u/50/50/1771992000000/CwxMC-EjhPjy7Fvn-R3Wsw/1TxemFihJFb9OPSEEzUGUMal8FV2U9NOQ1mnxZrb-D5kWHPv15NNpTJciETILXgqdyX530bippHSQg1e-KZxCtahDu9CAWK946hxgPgG707rPi7KQcKdoUHzGHm_7nIOf9_3p2U17Zw6cIhiOD0yR7ByIkgqQiKZnUCVkx9FdS8/j0MdBf7oaVf-r-iX6gwOlkGkbqzNagu0S7rmZ5QqVBU),40.366100,-74.942800,https://sittingsystems.org/ss-013/,SS-013 — Dining Chairs (Matched Set) — Domestic Displacement
14,SS-014,Display,SS-014.jpeg (https://v5.airtableusercontent.com/v3/u/50/50/1771992000000/PYnzpsLomkTjW_W34JeZgw/CDPsvpGvohTzEUozYZOmlTdXMD6MnPSQ-pvhI9anBrEhmBn4BBQLmxzVlg5R0EIGQa5tz5bQJWfpUGFSSiSCRu4QXMslrwlVIquiYtPHwVu-LfFoRWenI3GPM21oYz_tKxMj9A66T6zR74Pghujn0PRrEzkIXSBIS5nykHFa398/VTPM4_XbGBjWcaalhUN5kLZKYNvGoI1hmpM8eR8dxGs),40.713708,-73.994438,https://sittingsystems.org/ss-014/,SS-014 — Lounge Chair — Exhibition Proxy for Rest
15,SS-015,Display,SS-015.jpeg (https://v5.airtableusercontent.com/v3/u/50/50/1771992000000/-EAoQwqueSUE-KUtuzK1Sw/7NL7yqxQGQYcf4f9uCx4Tpyi2NFBWULRyB0aGUYK60GCo2MWpuRjHMHIrMUjt9cG5PYxLkmFgPgi-LEZSzp-rXvCLpNom0H3foPDgcW51vinQnXn4cXOMUnzZNdU_FepbKrnKjK8mQ5QL0zViWoChBLRl0ELuF2KH274KOx1koo/cf3kSmkHTd7H-8ptw33G0AZnegqlE9hFQxeeyynf7a4),40.721275,-73.996467,https://sittingsystems.org/ss-015/,SS-015 — Bentwood Armchair — Retail Seating
16,SS-016,Display,SS-016.jpeg (https://v5.airtableusercontent.com/v3/u/50/50/1771992000000/wLBOELDM6V0tsI-jkFiTsw/NZVY-QyBwK5pVPwoQnzfxuqvHmTnSnWX2lKmg3hBRZCwuqnkiUf5YPIG_2hE5p6_owYp4ArzUZBvEOqsBBfNGjjbl0VIFVHiqowY4ZJU5JBJO6ErlEEJahuE75LbRdNHy6LpLG9QBR2eOli-gcIJbSkf4l-KcKpbIhnwrL-TYbk/EpQKLmGtpGgtODu5gv5yFTeK8BWx3vefL8MMykOdLaQ),40.679512,-73.997337,https://sittingsystems.org/ss-016/,SS-016 — Molded Plywood Lounge Chair — Sidewalk Resale Display
17,SS-017,Resting,SS-017.jpeg (https://v5.airtableusercontent.com/v3/u/50/50/1771992000000/12vfrsSnyM8CxT6h86i5iw/Z8ESKfJ2scVUTpZj2J7ogR2fPQ-46vSDA11JK3cXQO4HMAiwYSc0S6pAS_8lOSNqhn2kw2Yx3NXA1GsvP7aBhoSPBI22NtB1nrV5led5YeHQq7_ZPSD9orYaemmMBL6l_PdZtstQ6jZ7fb6p4u40tyTLqJQJEYn-Ke6d7Gazdcw/AENrkIdIb2gINNUtkmujRMJLWpOmBJOwrM73Z-WTP44),48.847808,2.353055,https://sittingsystems.org/ss-017/,SS-017 — Deep-Seated Armchair — Domestic Rest